subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
國語,6,南一版,113_2,八,努力愛春華,"厭,驪歌,鳳凰樹,忌諱,德性..."
國語,6,南一版,113_2,九,每一個孩子都有一條自己的小路,"誦讀,綺麗,空曠,蒲公英,門檻..."
國語,6,康軒版,113_2,一,馬達加斯加，出發！,"瀕危,何去何從,生生不息,島嶼,獨立..."
國語,6,康軒版,113_2,二,沉睡的天空之城,"梯田,砌,湃,澎,序..."
國語,6,康軒版,113_2,三,走進太陽之城,"鬆,政府,欄,得天獨厚,雨後春筍..."
國語,6,康軒版,113_2,四,送友人,"別出心裁,重逢,抒發,漂泊,餘暉..."
國語,6,康軒版,113_2,五,蚵鄉風情,"靠攏,巡,甦,豎,媒..."
國語,6,康軒版,113_2,六,童年‧夏日‧棉花糖,"裊,祥雲,自得其樂,斑,逝..."
國語,6,康軒版,113_2,七,我的少年夢,"宙,浩,瀚,打發,憧憬..."
國語,6,康軒版,113_2,八,如何張開追夢的翅膀,"公斤,惋惜,羊羹,諺語,構築..."
國語,6,康軒版,113_2,九,成為人生的開拓者,"慎思明辨,家常便飯,苦不堪言,日復一日,枯燥..."
國語,6,翰林版,113_2,一,遊走在世界的市場裡,"建築,彰,購,遛達,陌生..."
國語,6,翰林版,113_2,二,到不來梅當個樂師吧,"摒,怖,頤,盜,衰..."
國語,6,翰林版,113_2,三,大小剛好的鞋子,"孤陋寡聞,欠缺,嗤之以鼻,倨傲,每逢..."
國語,6,翰林版,113_2,四,王戎辨苦李,"纍,苦澀,言簡意賅,描述,致使..."
國語,6,翰林版,113_2,五,童年‧夏日‧棉花糖,"飛梭,鈴,逝,恆,恬..."
國語,6,翰林版,113_2,六,兒童的保護傘,"斤,妨,凌,績,濟..."
國語,6,翰林版,113_2,七,你為何而學,"掘,釐,燃,驅使,由衷..."
國語,6,翰林版,113_2,八,我的武俠大夢,"要旨,茁壯,柢,鍛鍊,精湛..."
國語,6,翰林版,113_2,九,雛鳥試飛,"阱,雛鳥,胸膛,光芒,啾啾..."
